Dr. Abara is one of the best teachers on campus. He is very knowledgeable and he genuinely cares about his students. I highly recommend his class. Not taking his class would be a big mistake!!! Thank you  Dr.Abara for two semesters of excitement and fun!!! You are truly the best. Capish ?,good,cleaned,Predicted_Feedback,Predicted_Label
Abara is the best! He does his best to make the class interesting by being funny and trying to relate to relevant social topics. If you show effort and ask him what you can do to pass the class he will help you out so much. His test are extremely easy if you are attentive during lecture. I would happily take him for Psy 301!,awesome,abara best best make class interest funni tri relat relev social topic show effort ask pass class help much test extrem easi attent lectur would happili take psi,1,Positive
"Doctor Abara was a great professor,his PSY 250 class was easy if you pay attention &take notes on his lectures. He reviews a lot, which was, it helped me further understand if I didn't get it the first time. He does his best to be understanding, and for that he is awesome. Enjoyed his class a lot and passed with an A without the text.",awesome,doctor abara great professor psi class easi pay attent take note lectur review lot help understand get first time best understand awesom enjoy class lot pass without text,1,Positive
Dr. Abara is very passionate about his subject but unreliable.  He walks into the 50 minute class 10 minutes late and isn't clear about what is required of the students.  Class is unorganized and he says he will help but doesn't show up to office hours or do what he says he will.,poor,dr abara passion subject unreli walk minut class minut late clear requir student class unorgan say help show offic hour say,1,Positive
"Dr. Abara is hilarious. He gives really hard exams...I would say impossible exams...but he lets you bring up your grade a lot!! He does not reply to emails, but is nice in class.",poor,dr abara hilari give realli hard exam would say imposs exam let bring grade lot repli email nice class,1,Positive
"Dr. Abara is one of the coolest professors i've had at northridge. The class itself wasn't all that interesting, but he made it kinda fun. He's really funny and really does try to do everything to help you pass the class if you ask. He's awesome, i would definitely take another class with him. also, he's a seriously sharp dresser. classy guy.",good,dr abara one coolest professor northridg class interest made kinda fun realli funni realli tri everyth help pass class ask awesom would definit take anoth class also serious sharp dresser classi guy,1,Positive
"He is funny but not a very good teacher, the only reason to take him is for a credit/no credit class. Attendance is mandatory..No hw. Very easy class since it is credit/no credit, HATES when people use their cell phones so do not text in there!!!",average,funni good teacher reason take credit credit class attend mandatori hw easi class sinc credit credit hate peopl use cell phone text,1,Positive
"I LOVE ABARA!!!! He is hilarious and super smart. He is such a cool guy and easy to talk to. If you need anything, he is there. He is clear about what is on the test but the student needs to make sure that they understand the concepts in stats to do well because he challenges his students to evaluate and use critical thinking. You need him! lol",good,love abara hilari super smart cool guy easi talk need anyth clear test student need make sure understand concept stat well challeng student evalu use critic think need lol,1,Positive
I am really upset by all this negativity on Dr. Abara's page. The people hating on him probably didn't even study or come to class. His class is challenging and if you don't abuse his rules then there is no problem. Have some respect! The ones who wrote negative commentary should take an English class because your spelling sucks!,awesome,realli upset neg dr abara page peopl hate probabl even studi come class class challeng abus rule problem respect one wrote neg commentari take english class spell suck,1,Positive
"If you like learning and having a good time at the same time, take Dr. Abara. He is amazing! He knows his stuff and incorporates humor or easy examples for a better understanding of the material. He cares about his students and always wants to know if you are struggling so that he can help you. I have taken him again and again because he ROCKS!",awesome,like learn good time time take dr abara amaz know stuff incorpor humor easi exampl better understand materi care student alway want know struggl help taken rock,1,Positive
"I took Abara for the seminar section of 473 in the summer, not the lecture part. He's really funny, and tries to be engaging. We have a research paper but since it was the summer, he gave us all the data and the methods. We just really needed to find references. 10% is also showing up, but you get to dissect brains which is fun.",good,took abara seminar section summer lectur part realli funni tri engag research paper sinc summer gave us data method realli need find refer also show get dissect brain fun,1,Positive
One of the best out there!,awesome,one best,1,Positive
He is the worst Professor EVER. Super unfair and careless. I took two classes with him cuz didnt have any option and learned absolutely nothing. Do not waist you time!!,awful,worst professor ever super unfair careless took two class cuz didnt option learn absolut noth waist time,1,Positive
Dr. Abara is simply AMAZING!!! His class is informative and he definitely does not bore you. He is super funny and very intelligent. Previous to taking 473 I had second thoughts about taking him by looking at his reviews on rate my professor but I am so glad that I did not listen and it was a pleasure being one of his students. It is a 400 level cl,awesome,dr abara simpli amaz class inform definit bore super funni intellig previou take second thought take look review rate professor glad listen pleasur one student level cl,1,Positive
Show up every day and understand what he is saying and you can get an A. Very funny! :) This is a class you WILL HAVE to study for!,average,show everi day understand say get funni class studi,1,Positive
I loved his class! He was so funny and notes really helped for the test he gave which anyone can pass if they study the book and notes he gave in class. Also made sure you got your experiment credits done. Was a great help!,awesome,love class funni note realli help test gave anyon pass studi book note gave class also made sure got experi credit done great help,1,Positive
"Great class, it was a Friday class but well worth it. We did group test, there are 6 test but are only 20 questions each and he drops your lowest grade. He is very  funny and makes the class interesting.",good,great class friday class well worth group test test question drop lowest grade funni make class interest,1,Positive
Great Pofessor. This was a friday class but still very enjoyable. He told lots of jokes. we took goup tests and had a take home test. The final was all questions from previous test. He is an awesome profesor and I would highly reccommend taking him!!,awesome,great pofessor friday class still enjoy told lot joke took goup test take home test final question previou test awesom profesor would highli reccommend take,1,Positive
"Taking His classes are big danger! Very confusing lecture,(unrelated slides with unrelated lectures are mixed to make you nervious) very complicated tests.",awful,take class big danger confus lectur unrel slide unrel lectur mix make nerviou complic test,1,Positive
"It seems that Dr Abara has been burn out. search &quot;burnout in caring professionals&quot; to know what I say. He IS really a nice and compassionate person.But, His teaching is disaster! his tests are disaster!",average,seem dr abara burn search quot burnout care profession quot know say realli nice compassion person teach disast test disast,1,Positive
I ahve really missed his sayings &quot;happy hour...As such...seretonin...&quot; He was nice,good,ahv realli miss say quot happi hour seretonin quot nice,1,Positive
"You know what&#63; He does really have a good heart. If you get to like him, He undrestand kindness. I have really missed him, my tears came out after leaving class today.He does want to help students",good,know realli good heart get like undrestand kind realli miss tear came leav class today want help student,1,Positive
"he compares his job to customer service, , BUT, the class is really self service!you need to kills your self to learn. talks about difficult concepts of pharmacology A lot of medication names that you cannot even remember.like you say to 10 years old child: we have short term memory and long term memory .tests very hard. great risk if you take him!",average,compar job custom servic class realli self servic need kill self learn talk difficult concept pharmacolog lot medic name cannot even rememb like say year old child short term memori long term memori test hard great risk take,1,Positive
"You either really ignore the risk you are facing by being in his class, or really don't care about the situation. Biology must not be taught like sociology that you just write down and memorize.the materials are not presented in a conceptual way.",awful,either realli ignor risk face class realli care situat biolog must taught like sociolog write memor materi present conceptu way,1,Positive
"Very detailed on every aspect that he teaches. Tests will definitely test you. Fun class, makes it interesting. 3 tests, Group test for number 2. Must take notes to pass class material is not usually in the book. Ask him if you can help in his research. Everything on test was covered in lecture and he is very clear about that.",awesome,detail everi aspect teach test definit test fun class make interest test group test number must take note pass class materi usual book ask help research everyth test cover lectur clear,1,Positive
"He's actually a really good teacher, I don't know why so many people are hating. He's funny and gets along well with his students. 2 midterms and an optional final. Tests are hard, but our second midterm was a group test w/ open notes. If you're interested in the subject and want to learn, then he's a good teacher to take.",good,actual realli good teacher know mani peopl hate funni get along well student midterm option final test hard second midterm group test w open note interest subject want learn good teacher take,1,Positive
"Awful professor, Awful way of teaching, not clear, not nice with students",poor,aw professor aw way teach clear nice student,1,Positive
"He is illogical, Not helpful, extremely hard ( you do not learn any thing) Just unrelated hard master's level material, questions are as complicated as possible! AVOID HIS CLASS!",poor,illog help extrem hard learn thing unrel hard master level materi question complic possibl avoid class,1,Positive
"Never never take his classes evenif the time matches your schedual! Go to evening classes, but Do NOT TAKE IT!",average,never never take class evenif time match schedual go even class take,1,Positive
Very fun teacher. The test follow his lectures and the book and have very few surprises. If you take good notes and spend a some time studying the class is pretty easy. Keeps class very interesting so hopefully you won't get bored. He does have an accent but I had no trouble understanding him.,good,fun teacher test follow lectur book surpris take good note spend time studi class pretti easi keep class interest hope get bore accent troubl understand,1,Positive
Very fun teacher. The test follow his lectures and the book and have very few surprises. If you take good notes and spend a some time studying the class is pretty easy. Keeps class very interesting so hopefully you won't get bored. He does have an accent but I had no trouble understanding him.,good,fun teacher test follow lectur book surpris take good note spend time studi class pretti easi keep class interest hope get bore accent troubl understand,1,Positive
"Dr. Abara is very anal but he means well, honestly after reading these poor reviews on him i was terrified to go to class but he really was not that bad. His accent is thick and hard to understand. He makes reallly corny jokes and thinks that he is so funny and its exhausting! The material was difficult for me and his tests were extremely hard!",poor,dr abara anal mean well honestli read poor review terrifi go class realli bad accent thick hard understand make reallli corni joke think funni exhaust materi difficult test extrem hard,0,Negative
"Alright this is how it is with this man..he is brilliant and incredibly knowledgable. He will not waste his time on students who are at high school level. If you wish to learn/move on to grad school take him. Not for those skating by to buy a degree. Hello work for it people, what a concept. Anyhow he is an asset to CSUN and &quot;Valium&quot; is not needed.",good,alright man brilliant incred knowledg wast time student high school level wish learn move grad school take skate buy degre hello work peopl concept anyhow asset csun quot valium quot need,1,Positive
He is an anal retentive and passive aggressive queen. He must be a nightmare as a coworker.Take a valume.,poor,anal retent passiv aggress queen must nightmar cowork take valum,1,Positive
"His grading system is good. There is only one problem with this professor. It may sound that he cares about you as a student, but he does not. Just go to class, do the assignment and you will be ok. Just don't have high expectations.",good,grade system good one problem professor may sound care student go class assign ok high expect,1,Positive
one of the worst professors i have ever had. the tests are beyond ridiculous!! they are based on things he never even spoke of. bring him a diet coke and he might like you.,awful,one worst professor ever test beyond ridicul base thing never even spoke bring diet coke might like,1,Positive
"If you do the work, ask questions, and show up to class, you'll get a good grade. This is a 400 level class, don't expect it to be easy. Put time into the class and you won't get a bad grade.",awesome,work ask question show class get good grade level class expect easi put time class get bad grade,1,Positive
"Awful professor, not professional. Stay away!!!",awful,aw professor profession stay away,1,Positive
"Great professor. It was discouraging to study for hours upon hours only to receive a fail on every exam but thankfully he curves them. He is very genuine and I never as if he was rude, just sarcastic - and it was funny and always appropriate! To be honest, the students were the ones that made fools of themselves. Recommend course for hard workers.",awesome,great professor discourag studi hour upon hour receiv fail everi exam thank curv genuin never rude sarcast funni alway appropri honest student one made fool recommend cours hard worker,1,Positive
"Does not reply to e-mails, rude to students and seems way too worried about how students rate him on this site and on the CSUN evaluation sheet. Do not take him!",awful,repli e mail rude student seem way worri student rate site csun evalu sheet take,1,Positive
bad teacher. was over oppiniated. always late to class. would not respond to emails or acknowledge them even being sent. rude to students. stay away!,average,bad teacher oppini alway late class would respond email acknowledg even sent rude student stay away,1,Positive
"I got an -A, and still think ge is not a good prof. Stay away if you can!",awful,got still think ge good prof stay away,1,Positive
"I do not agree with some of the comments. I got an A and still did not like the way he teaches, plus I did not like the way he treated some students, I saw him being mean to other people and that really bothered me.",poor,agre comment got still like way teach plu like way treat student saw mean peopl realli bother,1,Positive
"I totally agree with the last comment. And I have to say I was in the top of the class as well, and still do not think he was a good professor, nothing personal. Sorry but I have to be honest and advise people to NOT take his class.",awful,total agre last comment say top class well still think good professor noth person sorri honest advis peopl take class,1,Positive
"Psychology 402 is a very difficult course. You have to attend every class and you must read the textbook in order to do very well in this class. He is a funny professor and makes you laugh once in awhile but honestly his teaching skills are not so good. In my opinion, when he is teaching he speaks as if you already know the material.",poor,psycholog difficult cours attend everi class must read textbook order well class funni professor make laugh awhil honestli teach skill good opinion teach speak alreadi know materi,1,Positive
"I do not agree with the negative reviews, I was one of the top students in the class and he was a good professor. Very funny in class.  Teaches to a high degree of expertise. Deliberately speaks clearly. Some other top students also liked him. Disgusted at the -ve reviews from students who felt ENTITLED to an A, but didn't get it handed to them.",awesome,agre neg review one top student class good professor funni class teach high degre expertis deliber speak clearli top student also like disgust review student felt entitl get hand,1,Positive
I would NEVER take him again. Do yourself a favor and STAY AWAY!!!!,awful,would never take favor stay away,1,Positive
If you can take somebody else!!!,awful,take somebodi els,1,Positive
"I do not recommend him, he is not very helpful. He made an interesting class boring!",awful,recommend help made interest class bore,1,Positive
Do not take him!,poor,take,1,Positive
"He is a nice person, but perhaps in the wrong job&#63; He knows his stuff, but it seems that people do not understand him. He also gave remarks about rating him here and on the faculty evaluation sheet CSUN gives us, I thought that was inappropriate to tell students, because we should be free to tell the truth as we see it.",awful,nice person perhap wrong job know stuff seem peopl understand also gave remark rate faculti evalu sheet csun give us thought inappropri tell student free tell truth see,1,Positive
"He is a nice guy, but never replies to e-mails and does not know how to teach as well as I expected. He also was very mean to a couple of students in class, maybe a little too sarcastic&#63;!",poor,nice guy never repli e mail know teach well expect also mean coupl student class mayb littl sarcast,1,Positive
"Dr. Abara is a respectable professor. He doesnt need a book in order to teach a subject to his students, he clearly have extreme knowledge in his field of teaching. He maybe sarcastic but is funny. He is also approachable & helpful if it is w/in reason. Thought i would get a C but to my surprise studying my butt off got me an A in class & lab.",good,dr abara respect professor doesnt need book order teach subject student clearli extrem knowledg field teach mayb sarcast funni also approach help w reason thought would get c surpris studi butt got class lab,1,Positive
"Dr. Abara was an excellent teacher. HE knows his stuff, but this is an upper level course so expect do study. Was one of my toughest classes in college but my most rewarding, because I put in a lot of effort into the class. If your willing to learn he'll help you with the material.",average,dr abara excel teacher know stuff upper level cours expect studi one toughest class colleg reward put lot effort class will learn help materi,1,Positive
"Worse professor I ever had in my life! He is a nice guy, but the worse professor EVER!!! Some people are smart, but simply can't teach!",awful,wors professor ever life nice guy wors professor ever peopl smart simpli teach,1,Positive
"He is a very challenging teacher, but not as bad as everyone is making him out to be. He is very smart and is not like all the other teachers at csun who lecture out of the book and dont know what they are talking about.  If you want an easy A dont take him, if you want to earn your grade take him. It is a challenging class but you'll learn a lot.",average,challeng teacher bad everyon make smart like teacher csun lectur book dont know talk want easi dont take want earn grade take challeng class learn lot,1,Positive
"Dr. Abara is excellent if you are prepared to interact on an intelligent and mature level. Seriously. I was intimidated at the start Psy.402 but his quality of teaching and mastery of material made me respect & admire him. He is a very special and gifted educator, attentive caring and approachable. LOVE HIM.",awesome,dr abara excel prepar interact intellig matur level serious intimid start psi qualiti teach masteri materi made respect admir special gift educ attent care approach love,1,Positive
"Not nice. First day of school he acted like a 2 year old who needed a bottle. He is unprofessional, judgmental and course. I would rather eat my arm than finish the course with him. The material is difficult, so having a good guide is essential.",poor,nice first day school act like year old need bottl unprofession judgment cours would rather eat arm finish cours materi difficult good guid essenti,1,Positive
"He is very hard but you can do well because his tests are curving.I didn't like the presentations because only his favorite students got the chance to do it. Others just got free points and all of their effrots were for nothing. On the other hand, he understands your pressure with your late papers and is flexible if you have a reasonable excuse.",average,hard well test curv like present favorit student got chanc other got free point effrot noth hand understand pressur late paper flexibl reason excus,1,Positive
"I had him during summer and I learned alot, he teaches really good and would help if you ask him. he is mody but everyone is like that. I do recomend him, make sure to study alot. he would tell you what exactly you need to know for his midterms, doesnt sound good&#63;",good,summer learn alot teach realli good would help ask modi everyon like recomend make sure studi alot would tell exactli need know midterm doesnt sound good,1,Positive
"1. he does not teach psy 345 as the comment below stated! 2. WORST PROFESSOR THAT I HAVE EVER HAD. HE MAY KNOW THE MATERIAL, BUT MAYBE HE SHOULD LEARN HOW TO TEACH BEFORE ATTEMPTING TO BE A PROFESSOR OF A COLLEGE COURSE. THERE IS NOTHING GOOD ABOUT THIS BAD PROFESSOR, AND YOU WILL GET A BAD GRADE. UNLESS YOU TEACH YOURSELF!",awful,teach psi comment state worst professor ever may know materi mayb learn teach attempt professor colleg cours noth good bad professor get bad grade unless teach,1,Positive
"Currently in my 2nd class with Dr. Abara, who is one of the most fair and caring, and accessible professors I have ever met. He is professional and his class is difficult but he breaks it up with a great sense of humor. His disposition is extremely pleasant- whoever found him rude probably didn't have their ringer on silent... or failed.",awesome,current nd class dr abara one fair care access professor ever met profession class difficult break great sens humor disposit extrem pleasant whoever found rude probabl ringer silent fail,1,Positive
"I must agree with the majority of these ratings. He loves to talk about drinking margaritas and his teaching style is not effective, or at least I don't consider reading from a power point very useful. He did make rude comments to more than one student, which I found less than amusing. I got a B but i do not recommend at all.",awful,must agre major rate love talk drink margarita teach style effect least consid read power point use make rude comment one student found less amus got b recommend,1,Positive
WORST teacher I have ever had. Unwilling to help. MOODY. Favors the guys in class. He thinks his teaching style is perfect regardless that half the class is failing. Says &quot;I don't know&quot; to questions asked in class at least 3 times a day. DO NOT TAKE HIM!!!,awful,worst teacher ever unwil help moodi favor guy class think teach style perfect regardless half class fail say quot know quot question ask class least time day take,1,Positive
"one of the best professors in csun. if you took him and find yourself complaining, if you took him and are blaming him, then you dont know how to apply meta cognition while readin the textbook. immature kids.",awesome,one best professor csun took find complain took blame dont know appli meta cognit readin textbook immatur kid,1,Positive
"I don't know why everyone's saying he's hard. I never took notes, hardly ever went to class and never studied; however, I did read the text book. Cause of the super curve he uses a D will turn into a high A on his curve. Nice guy, kind of funny, but not very responsable towards his students. Fairly clear though, easy class, good teacher.",good,know everyon say hard never took note hardli ever went class never studi howev read text book caus super curv use turn high curv nice guy kind funni respons toward student fairli clear though easi class good teacher,1,Positive
"Amazing that the last person said that Dr. Abara is rated to harshly.Yet they did'nt seem to leave high marks either-hmm&#63;Dr Abara plays favorites, is funny at times, until he insults you in a mocking way.Making him unprofessional!He curves grades as to not draw attent to himself for failing every student.Passing with an A is do-able after curving.",awful,amaz last person said dr abara rate harshli yet nt seem leav high mark either hmm dr abara play favorit funni time insult mock way make unprofession curv grade draw attent fail everi student pass abl curv,1,Positive
People complain all the time that this Professor is so hard. I think the most pivotal thing is to study on your own as well as in groups and make sure to read the book thoroughly. I got an A for both this class and lab. It's not that difficult,average,peopl complain time professor hard think pivot thing studi well group make sure read book thoroughli got class lab difficult,1,Positive
"stay away from this professor, he is very rude,He has no respect for his students, he doesn't know how to teach. I have no idea how get hired at CSUN. around five people in my class decided to file a complaint against him. if anyone else wants to file a Complain against him, they can go to the office and file the form.",awful,stay away professor rude respect student know teach idea get hire csun around five peopl class decid file complaint anyon els want file complain go offic file form,1,Positive
"First off as is said WAY to hard midterms, by any standard. Spends half of class droning about drinking Worst thing is that your grade seems to be dependent on how he is feeling at the time. I put an hours worth of effort on studying for the midterms and for Ds Do yourself a favor and take someone else.HE IS RUDE Lecturer! 31 out 50 mean on exam",awful,first said way hard midterm standard spend half class drone drink worst thing grade seem depend feel time put hour worth effort studi midterm ds favor take someon els rude lectur mean exam,1,Positive
"DO NOT TAKE! this man has no idea on how to help students learn and enjoy learning. i put in hours of studying to get a D. I hope to pass the class! He never helps, wastes timein class, makes you feel stupid and brain dead. He has stupid jokes and thinks hes funny and people like him. My last semester at the school was sreadful thanks to him.",awful,take man idea help student learn enjoy learn put hour studi get hope pass class never help wast timein class make feel stupid brain dead stupid joke think he funni peopl like last semest school sread thank,1,Positive
hard class!,good,hard class,1,Positive
cant teach. mean of the test was 25/30.A rude man from SF. DO NOT TAKE!,awful,cant teach mean test rude man sf take,1,Positive
This is very hard class. But if you go to his office he will help you out. Hen seem rude at time. But he is nice when you talk to him one on one. I am gotten an D&#63;F. I hope I pass but he did help me lot. he is very funny!!!!!!!!!,awesome,hard class go offic help hen seem rude time nice talk one one gotten f hope pass help lot funni,1,Positive
Dr. Abara is an immature and rude professor. &quot;Etiquette of Teaching-101&quot; is what he needs to study! He needs to go back to research and leave teaching to those more qualified. He embarrassed me in class for speaking my honest opinion about why a test mean was 30/50. He'll do it to you! Stay away!,poor,dr abara immatur rude professor quot etiquett teach quot need studi need go back research leav teach qualifi embarrass class speak honest opinion test mean stay away,1,Positive
"nice sweet guy, 3 hard mid-term. But this is the best teacher for this class if you plan to move on to 402. study and you should pass the class. go to his office hours. he likes to help. he is very funny",average,nice sweet guy hard mid term best teacher class plan move studi pass class go offic hour like help funni,1,Positive
This guy is crazy. he will make you want to call the blue project. Stay away from this guy. he is very hard. midterm are very hard. I am going crazy. going to call the blue project,awful,guy crazi make want call blue project stay away guy hard midterm hard go crazi go call blue project,1,Positive
abara loves to say look in the book and look in the syllabus. We ask questions because we need help not for some over pay teacher to tell us to look in the book and syllabus. yes he is a teacher not a professor. but cant teach at all. The mean was 30 out 50 in our midterm. YES HARD midterms,awful,abara love say look book look syllabu ask question need help pay teacher tell us look book syllabu ye teacher professor cant teach mean midterm ye hard midterm,1,Positive
"nice professor to some students, knows his materials...yet tests are hard even when effort is put in to studying... and fun...also, he does not like to explain things when question is asked, however likes to talk about random things...not recommended.  THIS CLASS is psy 402 not psych 802 at Harvard University. very hard! Very rude.",awful,nice professor student know materi yet test hard even effort put studi fun also like explain thing question ask howev like talk random thing recommend class psi psych harvard univers hard rude,1,Positive
"Seriously, this man is hard and wants you to be filled with stress for this class.  Don't take him!!!!!  Chose another 400 level prof, Trust me!!!!  The tests are extremely hard and he loves doing that to the students. Curve or not, it's not worth the stress!!!!!",average,serious man hard want fill stress class take chose anoth level prof trust test extrem hard love student curv worth stress,1,Positive
"I have had a great experience at my school, and it all stoped when I met this professor. His moods are all over the place, he is the most unorganized teacher I have ever had.He gets upset if we ask questions and snaps at us. Seriously stay away!!!!",poor,great experi school stope met professor mood place unorgan teacher ever get upset ask question snap us serious stay away,1,Positive
Very confusing! He acts as if you already know the material. Uses powerpoint and flips through them very fast that you can't even write anything down or pay attention to what he is saying. Please avoid taking anything with him. DANGER!,poor,confus act alreadi know materi use powerpoint flip fast even write anyth pay attent say pleas avoid take anyth danger,1,Positive
EXTREMELY DIFFICULT CLASS - WARNED NOT TO TAKE!,poor,extrem difficult class warn take,1,Positive
HORRIBLE PROFESSOR!!! NOT APPROACHABLE AT ALL!!! HE IS VERY INPATIENT AND GETS ANNOYED WITH STUDENTS WHEN THEY ASK QUESTIONS!!! THIS SUBJECT IS ANYTHING BUT EASY!!...DO NOT TAKE HIM!!,poor,horribl professor approach inpati get annoy student ask question subject anyth easi take,1,Positive
He is a nice guy but very hard test! alway happy,awesome,nice guy hard test alway happi,1,Positive
This professor needs to be fired. But he is a nice guy. But bad professor. Cant teach at all. He loves to talk about happy hour. everyday! He gets upset when we ask questions. He talks to fast. He is mad all the time and takes out on the class.  I drop one test out of 3 very very very hard test.,average,professor need fire nice guy bad professor cant teach love talk happi hour everyday get upset ask question talk fast mad time take class drop one test hard test,1,Positive
"This is not an easy A class. If you are taking this class you have to study! Make sure to take good notes. If he see's that you are trying he will take it into consideration when grading. However, let him know that you are trying, he will work with you.  He is not bad person as others make him sound.",average,easi class take class studi make sure take good note see tri take consider grade howev let know tri work bad person other make sound,1,Positive
HE IS A FUNNY PROFESSOR.HE HAS 3 TESTS HE DROPS THE LOWEST TEST SCORE YOU HAVE TO DO GOOD ON THE FIRST TWO THAT WAY YOU DON'T HAVE TO TAKE THE FINAL.HE CURVES HIS TESTS THERE'S NO HW JUST HAVE TO READ.HIS T.A. HAS A STUDY SESSION THE FRIDAY BEFORE THE TEST AND HE GOES OVER EVERYTHING AND HE ANSWERS ALL OF YOUR QUESTIONS.,average,funni professor test drop lowest test score good first two way take final curv test hw read studi session friday test goe everyth answer question,1,Positive
"any professor that has to add 20 points to everyones score in order for them to pass his exams is either 1) not presenting his material in an intelligible way so that students understand him or 2) his tests are not reflective of what he &quot;has&quot; taught.  Either way, this does not reflect favorably on his abilities as a professor.",average,professor add point everyon score order pass exam either present materi intellig way student understand test reflect quot quot taught either way reflect favor abil professor,0,Negative
"This is the most disorganized professor I have ever had....he grades your tests IN CLASS a week after taking the test! He should grade on his on time, not in class, we missed an entire lecture 3 times because of this!! He rambles, goes off on tangents and lets students side track him for toooo long...",average,disorgan professor ever grade test class week take test grade time class miss entir lectur time rambl goe tangent let student side track toooo long,1,Positive
"He's funny. Take good notes because most of the exam qustions are straight out of lecture.  Do NOT text in his class, it's rude and seriously pisses him off.",average,funni take good note exam qustion straight lectur text class rude serious piss,1,Positive
i give him a low rating i lost interest in the class and stoped going,awful,give low rate lost interest class stope go,1,Positive
I hate him. He can't explain anything clearly. He can't even speak clearly. His exams are horribly difficult!! Questions make him really angry. And he goes through powerpoints for his lectures but does it too fast. Also each page has like 10 terms and he does not post all the powerpoint online. You have to study until your eyes bleed to pass!!!Bewa,awful,hate explain anyth clearli even speak clearli exam horribl difficult question make realli angri goe powerpoint lectur fast also page like term post powerpoint onlin studi eye bleed pass bewa,0,Negative
"This professor is cool, i rarely did any work and received a &quot;B&quot;, just make sure you do well on your presentation and you'll be cool.",awesome,professor cool rare work receiv quot b quot make sure well present cool,1,Positive
"Professor Abara is a really nice person who tries to help all of his students. He might look intimidating but once you approach him you'll see how wonderful he is. He curves most of his exams, definetly recommend study sessions before each exam and read the book to understand subject better. He's the BEST!!!!",awesome,professor abara realli nice person tri help student might look intimid approach see wonder curv exam definetli recommend studi session exam read book understand subject better best,1,Positive
"He is by far the best professor at CSUN! He is completely passionate at what he teaches. I took him for psy402, and got an A.  People that complain about his class are simply lazy?.Hello!It?s an upper division class! You will learn a ton Read,take lots of notes, and go to all the study sessions he has before an exam. He offers tremendous help .",awesome,far best professor csun complet passion teach took psi got peopl complain class simpli lazi hello upper divis class learn ton read take lot note go studi session exam offer tremend help,1,Positive
funny prof. difficult class but he works you through the steps.,good,funni prof difficult class work step,1,Positive
he was absolutely hilarious. he's also very willing to help students. study what he tells you to study and you'll do well in the class,good,absolut hilari also will help student studi tell studi well class,1,Positive
"omg i find him so amusing. he has a very odd and whimsical manner thats really hard to describe. as far as his class, just write down everything he says, pay attention to what he specifically points out as important, and memorize the slides. he obviously loves his subject. and notice how often he says &quot;it's aMAZing&quot;.",awesome,omg find amus odd whimsic manner that realli hard describ far class write everyth say pay attent specif point import memor slide obvious love subject notic often say quot amaz quot,1,Positive
